id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2023138,BARBADOS – w/Private Entrance & Bathroom,10384873,Giuliana & Eric,,Fort Lauderdale,26.09871,-80.15148,Private room,70,30,15,2020-02-03,0.15,5,58,0,
2026631,WELCOME..................HOME,2453109,Sarah,,Hollywood,26.02998,-80.14141,Entire home/apt,215,3,94,2022-05-02,0.91,1,56,16,
217990,COSY APT OVER THE BEACH,637272,Bianca,,Hollywood,25.9942,-80.11725,Entire home/apt,250,10,18,2018-03-19,0.14,6,365,0,
2028061,"Modern, quaint, fully renovated",10416582,Shelly,,Tamarac,26.2276,-80.26648,Private room,45,3,20,2022-05-24,0.20,1,82,8,
2034472,ANTIGUA - Nice & Quiet!!,10384873,Giuliana & Eric,,Fort Lauderdale,26.09889,-80.15126,Private room,60,30,28,2022-04-26,0.28,5,167,2,
2043616,Best of Hallandle Beach Vacation,10479761,Barry,,Hallandale Beach,25.9775,-80.12035,Entire home/apt,77,90,4,2022-04-01,0.04,1,221,1,
229773,Gorgeous Private Las Olas-Idlewyld Home,1097874,Paul,,Fort Lauderdale,26.11784,-80.11059,Entire home/apt,314,4,105,2022-05-28,0.91,1,160,21,
2052263,close to beach // available 06/13 - 07/06/22!!,3209220,Luxus Feriendomizile,,Fort Lauderdale,26.19932,-80.11357,Entire home/apt,180,30,54,2022-06-12,0.52,1,124,4,
241944,MARY POP APARTMENTS #203,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,100,7,10,2021-01-01,0.08,8,39,0,
2057228,Lovely Room in Weston Florida.golf,10534063,Sandra,,Weston,26.11288,-80.36807,Private room,68,1,72,2022-05-31,0.70,2,324,24,
256386,Country Living for Four,1304156,Nicolas,,Hollywood,26.0274,-80.14268,Entire home/apt,118,2,206,2022-06-01,1.62,4,352,33,
2071609,APARTMENT 2 BEDROOM  IN FORT LAUDERDALE,10591425,Joana,,Fort Lauderdale,26.17837,-80.09627,Entire home/apt,220,4,62,2022-04-17,0.60,3,336,18,
2108829,STUDIO ON THE BEACH OF FORT LAUDERDALE,10591425,Joana,,Fort Lauderdale,26.18015,-80.09637,Entire home/apt,150,4,58,2021-11-14,0.57,3,332,2,
302467,Secret in Wilton Manors/Lauderdale *Superhost,1557618,Claudia,,Fort Lauderdale,26.15081,-80.13361,Entire home/apt,199,3,109,2022-05-16,0.86,3,288,8,
2116588,Downtown Fort Lauderdale and Beaches,10791649,Lena,,Fort Lauderdale,26.09111,-80.1884,Entire home/apt,236,4,147,2022-06-06,1.84,6,246,53,
2177017,Pompano Beach House with Pool & Spa,6272954,Erica,,Margate,26.25055,-80.22174,Entire home/apt,355,7,72,2022-05-12,0.80,3,337,5,
308839,Fabulous & Private 475 sq ft Suite,1585064,Deborah,,Miramar,25.98577,-80.31657,Private room,48,180,47,2020-03-31,0.38,2,235,0,
2195826,Room available in W. Pembroke Pines,11065578,Josephine,,Pembroke Pines,25.99378,-80.35631,Private room,30,14,24,2022-03-05,0.25,1,97,2,
2209568,Oceanfront Building: On the Beach! Enjoy it!,11270841,Pablo,,Hollywood,25.9873,-80.11862,Entire home/apt,161,1,56,2022-06-13,0.62,1,162,29,
2210837,Private Suite @ Resort Like Home,11210319,Anchalee,,Parkland,26.31309,-80.22417,Private room,99,3,76,2022-05-15,0.76,1,209,15,
325734,Hidden Gem for two,1304156,Nicolas,,Hollywood,26.02603,-80.14215,Entire home/apt,50,2,158,2022-06-17,1.39,4,354,36,
2254312,The  Little Inn with a Big ❤️,11512158,Sea Spray Inn,,Lauderdale By The Sea,26.18779,-80.09628,Entire home/apt,136,2,143,2022-06-07,1.98,5,27,32,
334321,S.Florida 1 Sunshine Vacation,407867,Eno,,Cooper City,26.05326,-80.28041,Private room,90,2,3,2016-03-06,0.03,2,167,0,
2254548,FABULOUS 1450 SQ.FT. CONDO WITH LAKEVIEW,11513176,Deborah,,Lauderhill,26.16538,-80.23533,Entire home/apt,128,1,16,2019-01-26,0.16,1,172,0,
2262485,Peaceful Studio  with Full Kitchen,11553282,Lorraine & Greg,,Pompano Beach,26.21094,-80.11977,Entire home/apt,76,1,511,2022-06-06,5.08,5,295,61,
2274922,Amazing Beach View Studio on Florida's Best Beach,11584719,Osean11,,Hollywood,26.01166,-80.11576,Entire home/apt,96,2,54,2022-05-30,2.84,1,330,23,
2302493,TURKS - Cozy !! Neat and simple,10384873,Giuliana & Eric,,Fort Lauderdale,26.09834,-80.15305,Private room,36,30,33,2021-07-31,0.33,5,261,1,
334375,S.FloridaSunshineGetawayVacation HardRock Stadium,407867,Eno,,Cooper City,26.0534,-80.28132,Entire home/apt,250,3,8,2020-03-02,0.08,2,138,0,
2311108,Health & Wellness Retreat 5' from Hollywood Beach,11797569,Alejandro,,Hollywood,26.00034,-80.13695,Private room,90,2,36,2022-05-25,1.20,1,170,24,
2323501,Beautiful apart over the beach with sea view TIDES,11867654,Marisa,,Hollywood,25.98913,-80.1173,Entire home/apt,148,4,55,2022-06-04,0.61,4,148,18,
2362039,Furnished Room #2 share bathroom,10392690,Pochita,,Pembroke Pines,26.02662,-80.23809,Private room,53,3,10,2016-03-26,0.10,3,320,0,
2410896,Piso 7W -  Delightful Bay View on the Beach,8790381,Natalia,,Hollywood,25.98869,-80.11806,Entire home/apt,203,4,34,2022-04-23,0.37,11,118,7,
2439075,6800 sqft 8/5 POOL WATER VIEW-MINIMUM 120 NIGHTS,12468203,Gary,,Deerfield Beach,26.30309,-80.08749,Entire home/apt,500,120,5,2017-02-20,0.05,1,365,0,
349538,Beachside Location! Central Beach | Resort Condo,1770887,Chris,,Fort Lauderdale,26.13588,-80.10394,Entire home/apt,429,2,32,2021-03-27,0.26,13,0,0,
2452611,"Resort Villa W, Ocean/IntraCoastal, why not BOTH?",12540540,Tom,,Hillsboro Beach,26.30278,-80.07947,Entire home/apt,163,5,25,2022-05-25,0.40,5,239,7,
2496310,BEACH CLUB ON THE BEACH 5-STAR APT,2001930,Dmitri,,Hallandale Beach,25.98542,-80.11992,Entire home/apt,225,20,0,,,51,32,0,
2500771,"Charming Villa, Pool, Walk 2 Beach Fort Lauderdale",12705227,Rhona,,Fort Lauderdale,26.16192,-80.10211,Entire home/apt,229,3,100,2022-06-06,1.20,2,348,21,
2501510,PRIVATE CABIN King bed FREE PARKING 2 miles 2Beach,10477721,Joanne And Louis,,Pompano Beach,26.23896,-80.11834,Entire home/apt,95,5,21,2022-05-02,0.23,1,297,5,
366178,TROPICAL GUEST HOUSE - Heart of Ft. Lauderdale!,1848829,Shirley,,Fort Lauderdale,26.12588,-80.13675,Entire home/apt,125,7,23,2021-06-28,0.19,2,200,1,
2509161,STUDIO 3 Blocks to BEACH w/POOL & free WiFi,899093,Sharone,,Hallandale Beach,25.98582,-80.12661,Entire home/apt,112,7,134,2022-04-19,1.34,6,85,9,
2540473,2080 LUXURY 3/2 OCEAN FRONT CONDO,2001930,Dmitri,,Hallandale Beach,25.97873,-80.12049,Entire home/apt,449,25,2,2014-04-24,0.02,51,47,0,
367815,SPECTACULAR DIRECT OCEANFRONT VIEWS - Amazing,238902,Wanda,,Hollywood,26.00831,-80.11583,Entire home/apt,125,90,11,2019-04-01,0.09,1,268,0,
2553995,CHAPPY WATERFRONT RESORT HOUSE,13077136,James,,Pompano Beach,26.20995,-80.1268,Entire home/apt,364,3,6,2021-11-28,0.12,2,247,1,
2558604,One of a kind split level home with large pool,1463210,Belkis,,Plantation,26.11531,-80.23072,Entire home/apt,395,3,5,2021-07-26,0.05,1,317,1,
2559431,BIG 3 Bedroom 2.5  bath pool home,1459305,Belkis,,Plantation,26.11441,-80.22964,Entire home/apt,399,2,7,2021-06-29,0.07,2,317,1,
393982,Charming Comfort... Ft Lauderdale Home,1848829,Shirley,,Fort Lauderdale,26.12575,-80.13523,Entire home/apt,99,7,24,2022-05-08,0.20,2,236,6,
2586608,White Sandy Beach & Superb location,11068214,Ronald,,Hollywood,25.98937,-80.11742,Entire home/apt,260,7,45,2022-04-09,0.47,7,123,7,
2600442,"COMFY 1bedrm apt , WIFI, POOL ,PARKING NEAR BEACH",899093,Sharone,,Hallandale Beach,25.99562,-80.13638,Entire home/apt,121,30,24,2022-03-10,0.25,6,158,4,
2601484,"Homey, Relaxing & Private Room",13127060,Eli,,Lauderhill,26.18014,-80.236,Private room,75,3,38,2022-04-26,0.41,1,179,11,
436596,Beautiful Water Front House w/ Pool,2168585,Lou,,Pompano Beach,26.21706,-80.12132,Entire home/apt,385,7,2,2015-01-06,0.02,1,287,0,
2661579,1 Bedroom very nice Peaceful UV LIGHT Sanitized,11679207,Jorge,,Hollywood,26.01787,-80.15957,Entire home/apt,56,30,5,2021-12-24,0.06,1,206,3,
2752488,★彡 BIG DOGS Welcome♡Your 2nd home Beach/Downtown彡★,1710387,Doris,,Hollywood,26.00506,-80.1409,Entire home/apt,125,31,21,2022-04-30,0.21,1,43,3,
2824122,S Hollywood beach. 1 bed oceanview,14447511,Andrew,,Hollywood,25.98845,-80.1191,Entire home/apt,110,21,1,2022-06-05,1,1,39,1,
2863496,Fully furnished efficiency,14636250,Diego,,Dania Beach,26.08569,-80.1733,Private room,119,1,16,2022-04-23,0.16,1,78,3,
438860,1 bedroom - Condo on the Beach,1889394,Juan,,Fort Lauderdale,26.17716,-80.09776,Entire home/apt,161,3,128,2022-05-02,1.07,1,193,21,
2886372,Very nice and safe complex!,14751091,Philip,,Deerfield Beach,26.32053,-80.14706,Entire home/apt,105,21,20,2022-06-04,0.22,4,77,5,
2935870,SPECTACULAR 2B DIREC BEACH ACCESS,6554158,Marcelo,,Hollywood,25.9868,-80.11954,Entire home/apt,200,4,27,2022-04-26,0.30,2,225,6,
2942878,"STUDIO W/POOL , PARKING, WIFI, 3 BLOCKS TO BEACH",899093,Sharone,,Hallandale Beach,25.98557,-80.12865,Entire home/apt,87,6,115,2022-05-16,1.17,6,75,10,
2976800,"Comfortable Florida style living, butterfly garden",1340850,Renata,,Oakland Park,26.17384,-80.15005,Entire home/apt,191,1,30,2022-05-11,0.51,12,292,27,
439914,30days to 360days,2185056,Maria,,Lauderhill,26.17582,-80.23224,Entire home/apt,85,360,1,2012-11-01,0.01,1,0,0,
2978245,Hollywood Beach 2 Bed Apartment,12518363,Aziz,,Hollywood,25.99893,-80.11931,Entire home/apt,102,25,22,2022-06-04,0.25,1,235,8,
3014355,BEAUTIFUL CONDO ON THE BEACH!,15362033,Ana,,Hollywood,25.98693,-80.12001,Entire home/apt,170,6,27,2022-05-02,0.32,21,138,8,
3069449,OCEANFRONT 2/2 ON THE BEACH 14 FL 2 JACUZZIS,2001930,Dmitri,,Hollywood,25.98681,-80.11967,Entire home/apt,293,5,12,2022-04-10,0.19,51,147,6,
3094016,🥇Victoria Park #2 ~KING~ Las Olas - Beach - Dtown,15735415,Sharonne,,Fort Lauderdale,26.12949,-80.12799,Entire home/apt,128,1,119,2022-05-08,1.22,3,82,15,
484515,MIAMI- AMAZING APARTMENT OVER BEACH,637272,Bianca,,Hollywood,25.99377,-80.1183,Entire home/apt,297,7,27,2021-03-19,0.22,6,364,0,
3097603,Xmas & New Year in Florida 2BR 2Bath Apt Weston,6533043,Zina,,Weston,26.12729,-80.37193,Entire home/apt,300,7,0,,,2,0,0,
3105046,Winter Holidays in Florida - Large 1BR Apt,6533043,Zina,,Weston,26.12701,-80.37186,Entire home/apt,105,7,0,,,2,0,0,
3113463,Nice private room / Waterfront home,15820838,Eloizio,,Pompano Beach,26.20921,-80.12938,Private room,75,4,68,2022-03-05,0.80,2,326,8,
533847,"Private, Tranquil & Beautiful Suite",1585064,Deborah,,Miramar,25.98779,-80.3169,Private room,32,180,46,2022-04-30,0.39,2,157,3,
3132163,Located in the QClub Ft Lauderdale Bch Rsrt(2110),5397550,Sunshine,,Fort Lauderdale,26.12924,-80.10407,Entire home/apt,300,1,56,2021-06-01,0.61,5,365,0,
3166711,SPECTACULAR 1B DIRECT BEACH ACCESS,6554158,Marcelo,,Hollywood,25.9873,-80.11862,Entire home/apt,140,3,28,2022-05-22,0.31,2,202,9,
3174078,2080 PENTHOUSE 2/2 OCEAN FRONT,2001930,Dmitri,,Hallandale Beach,25.97868,-80.12008,Entire home/apt,299,14,0,,,51,47,0,
3218564,Casino Lodging “Country Acres” Parkland Florida,16295826,Barbara,,Parkland,26.29435,-80.22115,Entire home/apt,110,1,69,2022-03-31,0.74,1,77,1,
3291429,Cozy Hollywood beach getaway -steps from ocean,14297428,Mary,,Hollywood,26.00317,-80.11599,Entire home/apt,80,1,2,2021-07-03,0.03,1,30,1,
592583,Ocean Front Condo! Central Fort Lauderdale Beach,1770887,Chris,,Fort Lauderdale,26.13621,-80.10403,Entire home/apt,499,2,25,2022-03-19,0.21,13,0,3,
3410222,Eco friendly paradise near Airport/Port/Beaches!,17044377,James,,Dania Beach,26.06644,-80.19701,Private room,93,10,76,2021-09-11,1.61,2,0,4,
624127,Sunny Bedroom -,3096101,Jan,,Pembroke Pines,26.00656,-80.25355,Private room,40,2,26,2021-09-11,0.25,1,44,2,
3410784,Beautiful 2 bed condo by the ocean,14055439,Maria,,Lauderdale By The Sea,26.21318,-80.09282,Entire home/apt,180,90,1,2015-04-01,0.01,1,261,0,
3441997,Great Florida Vacation,2402257,Varvara,,Deerfield Beach,26.31435,-80.09704,Entire home/apt,125,5,86,2020-07-28,0.94,1,63,0,
3495878,Located in the QClub Ft Lauderdale Bch Rsrt (1911),5397550,Sunshine,,Fort Lauderdale,26.12937,-80.10438,Entire home/apt,300,1,62,2021-04-29,0.67,5,365,0,
3525059,Beautiful Beach Waterfront Dockage,17751258,Eileen,,Fort Lauderdale,26.13603,-80.10571,Entire home/apt,200,90,1,2017-04-01,0.02,1,173,0,
3530463,Lake view Home with your own private pool,17773902,Beatriz,,Davie,26.072,-80.25828,Entire home/apt,310,4,115,2022-05-31,1.24,1,150,25,
658344,Ocean Front Condo | Central Ft Lauderdale Beach,1770887,Chris,,Fort Lauderdale,26.13804,-80.10532,Entire home/apt,499,2,23,2022-04-07,0.19,13,0,3,
3552489,Cozy 3-bedroom Retreat with Private Master Suite,14191888,Zachary,,Fort Lauderdale,26.13506,-80.12527,Entire home/apt,185,2,21,2022-06-14,3.68,1,155,21,
3553435,Private Master with Private Bath  (w/ Pool Access),11553282,Lorraine & Greg,,Pompano Beach,26.2113,-80.11822,Private room,49,1,558,2022-06-02,5.85,5,305,63,
3592530,Spectacular Golf View Condo & Pool,18097986,Ursula,,Hollywood,26.00059,-80.13285,Entire home/apt,79,1,6,2015-02-18,0.06,1,358,0,
680331,"Oceanfront Condo in Hollywood, FL",3463815,Nelson,,Hallandale Beach,25.98637,-80.11867,Entire home/apt,158,2,22,2022-05-23,0.20,2,318,12,
3661981,Tara Double Queen One Bedroom Suite,14324932,North Beach Village,,Fort Lauderdale,26.13113,-80.10795,Entire home/apt,175,2,59,2022-01-31,0.62,13,231,4,
3718508,Beautiful Hollywood Beach home with heated pool!,18987173,Erica,,Hollywood,26.01283,-80.12256,Entire home/apt,311,4,106,2022-06-05,2.34,1,241,30,
3783599,Sunny Place at Deerfield Beach,2350629,Franco & Daisy,,Deerfield Beach,26.29798,-80.08901,Private room,55,2,96,2022-06-13,2.18,1,69,10,
695109,Professionally Cleaned Central Beachside Location!,1770887,Chris,,Fort Lauderdale,26.13648,-80.10606,Entire home/apt,429,2,22,2022-03-04,0.19,13,0,1,
3851474,Hallandale beach. Excelente apartamento na praia,19196941,Teofilo,,Hollywood,25.98791,-80.11904,Entire home/apt,150,3,13,2022-04-02,0.31,1,187,9,
3938247,"""The Broadwalk"" = 1/1 on Hlwd Beach",6509464,Rich,,Hollywood,26.0178,-80.11688,Private room,92,5,37,2022-05-12,0.40,6,326,9,
4010331,4Palms Guestroom in private  home,20793680,James,,Dania Beach,26.05441,-80.14241,Private room,54,1,77,2019-12-11,0.84,1,321,0,
695242,Beachside condo - Central Ft Lauderdale Beach!,1770887,Chris,,Fort Lauderdale,26.13748,-80.10556,Entire home/apt,429,2,37,2022-04-16,0.31,13,0,2,
4033013,Make Yourself at Home,7259492,Alda,,Miramar,25.98763,-80.31558,Private room,68,6,12,2022-06-04,0.14,2,119,7,
4064679,2BR Beachside Condo in Central Ft Lauderdale Beach,1770887,Chris,,Fort Lauderdale,26.13702,-80.104,Entire home/apt,429,2,8,2022-04-01,0.12,13,7,2,
716990,Beautiful house Central Ft. Lauderdale!,3696537,David & Sindy,,Fort Lauderdale,26.14232,-80.12738,Entire home/apt,550,20,210,2018-03-18,1.80,1,199,0,
4066268,"OCEANVIEW CONDO, 1/1 for 4, LARGE PATIO",17469794,Valerie,,Hollywood,26.03109,-80.115,Entire home/apt,99,7,45,2022-06-04,0.49,48,82,20,
722515,"Decadent Oasis - hot tub, pool and billiards",2609518,Bram,,Hollywood,26.0073,-80.15713,Entire home/apt,499,3,244,2022-06-12,2.09,10,235,40,
4084768,Home away from Home,11068214,Ronald,,Hollywood,25.98762,-80.11921,Entire home/apt,180,7,33,2022-04-09,0.37,7,1,2,
765598,Enjoy A Garden Eden By The Beach!,4036922,Gail,,Fort Lauderdale,26.16633,-80.11567,Entire home/apt,360,3,58,2022-05-16,0.51,1,231,13,
4097680,"Gorgeous 1 Bedroom, Like New !!",12878437,Vicky,,Hollywood,25.98677,-80.11904,Entire home/apt,143,5,12,2021-02-28,0.15,10,287,0,
4097752,amazing.. Directly access to the beach!!,12878437,Vicky,,Hollywood,25.98695,-80.11958,Entire home/apt,220,1,17,2022-04-17,0.22,10,339,6,
813346,2 month Lease on Deerfield Beach,4274008,Nathan,,Deerfield Beach,26.30933,-80.07735,Private room,300,60,0,,,1,365,0,
4104891,4 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.02391,-80.11504,Entire home/apt,126,3,71,2022-05-09,0.77,5,338,3,
817635,Newly Renovated Deerfield Beach Sunset Townhouse🏌️‍♀️⛳️,4168960,I.,,Deerfield Beach,26.32085,-80.14409,Entire home/apt,146,7,27,2022-05-28,0.24,1,125,6,
4121107,Key West style suite near everything in historic,4636007,Jesus,,Fort Lauderdale,26.11972,-80.15277,Entire home/apt,150,4,10,2022-05-08,1.79,2,343,10,
844392,OCEANFRONT ON THE BEACH 4 FLOOR,2001930,Dmitri,,Hallandale Beach,25.98623,-80.1194,Entire home/apt,195,5,7,2018-03-17,0.06,51,180,0,
901497,Mary Pop Apartments ( Studio ) LAST MINUTE OK,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,55,7,102,2021-06-26,0.89,8,39,2,
4196774,GORGEOUS OCEANFRONT PENTHOUSE,21771375,Luis,,Hollywood,26.0151,-80.11629,Entire home/apt,139,90,5,2022-06-04,0.05,1,344,2,
912964,On the Beach Chic 2 Bedroom Miami,4787710,Shannon,,Hollywood,25.98925,-80.11882,Entire home/apt,189,2,82,2022-06-03,0.72,1,197,10,
4241389,"Marriott's BeachPlace Towers - Fort Lauderdale, FL",22008615,Sabrina,,Fort Lauderdale,26.12221,-80.10521,Entire home/apt,103,5,6,2021-01-02,0.09,3,14,0,
915364,Fully furnished studio efficiency with murphy bed.,4913859,Patrick,,Hollywood,26.02558,-80.14704,Entire home/apt,78,30,16,2022-05-24,0.36,1,120,5,
4258380,"Across the beach, golf.  Pompano beach",22100178,Annic,,Pompano Beach,26.24916,-80.08823,Entire home/apt,63,6,41,2022-06-05,0.57,1,117,20,
4260965,MARRIOTT'S BEACHPLACE TOWERS 50% OFF 2BVILLA,22008615,Sabrina,,Fort Lauderdale,26.1228,-80.10474,Private room,159,5,2,2018-08-31,0.03,3,0,0,
916342,1/1 MARY POP APARTMENTS #206 LAST MINUTE OK,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,80,4,21,2022-03-13,0.21,8,39,1,
4283746,One Bedroom beach home Hollywood,22238827,Veronika,,Hollywood,26.02306,-80.1155,Hotel room,130,1,2,2022-04-03,0.04,5,339,1,
980856,2 Bedroom apartment in Coral Springs,5371244,Elizabeth,,Coral Springs,26.25763,-80.23714,Entire home/apt,150,90,168,2022-05-21,1.86,1,283,33,
4284986,Superior Standard Room,22238827,Veronika,,Hollywood,26.02215,-80.11744,Private room,61,1,71,2022-05-04,1.21,5,335,6,
4288346,Wyndham resort - President's Day Week - 2/2,22264120,Steve,,Pompano Beach,26.24214,-80.0894,Entire home/apt,100,7,2,2019-02-15,0.05,1,0,0,
998144,OCEANFRONT MODERN 2/2 BEDROOM ON THE BEACH  2TH FL,2001930,Dmitri,,Hallandale Beach,25.98643,-80.11813,Entire home/apt,225,7,8,2022-04-30,0.08,51,69,4,
4294956,Vacation Home Rental,350312,Jaime,,Hollywood,26.01321,-80.15872,Entire home/apt,150,60,1,2018-03-18,0.02,2,365,0,
1038248,Mins from Everywhere-Private 3/2 House,240212,Elisa And Stephen,,Pembroke Pines,26.01895,-80.25821,Entire home/apt,350,7,22,2022-06-06,0.20,1,199,5,
4295517,Vacation Apartment Rental,350312,Jaime,,Hollywood,26.01329,-80.15842,Entire home/apt,60,60,4,2019-05-15,0.05,2,254,0,
4315812,"Tropical Oasis, Luxury Surroundings",6270706,Daniel,,Hollywood,26.00751,-80.13427,Private room,540,20,0,,,1,365,0,
1053872,"Waterfront, walk to beach, luxury, guesthouse",5540104,Katarina,,Fort Lauderdale,26.11499,-80.11301,Entire home/apt,570,6,6,2022-05-07,0.05,1,311,2,
4321322,Fully furnished Condo,14751091,Philip,,Deerfield Beach,26.32029,-80.1455,Entire home/apt,120,14,20,2022-05-25,0.22,4,53,3,
4332945,Lauderdale BoatHouse w/Ocean Access,9688645,Kevin,,Dania Beach,26.06639,-80.1898,Entire home/apt,125,3,24,2022-04-02,0.26,1,249,6,
1097406,Aladdin's palace,6030918,Fatima,,Hollywood,26.01865,-80.16034,Entire home/apt,199,1,138,2022-04-18,1.27,1,362,22,
4364138,Tropical Retreat - City Close,2042945,Tonya,,Miramar,25.96254,-80.31512,Private room,200,2,0,,,1,0,0,
4416835,"SEABREEZE STUDIO #6 FOR 4, GREAT LOCATION!",17469794,Valerie,,Hollywood,26.0165,-80.11586,Entire home/apt,111,5,42,2022-03-12,0.49,48,290,3,
1115250,Stay at Walrick of So Fla (BR1)!,6021015,Walter,,Wilton Manors,26.15727,-80.15172,Private room,139,1,125,2022-05-12,1.13,2,322,33,
4484576,Blue Room - Heart of Wilton Manors. Heated Pool.,3685146,Raazee,,Wilton Manors,26.16101,-80.12848,Private room,69,1,583,2022-06-01,6.29,3,12,40,
4484641,Home steps from the beach!,23247360,Lise-Anne,,Hollywood,26.01541,-80.11683,Entire home/apt,550,2,39,2022-01-29,0.43,1,146,9,
1115473,Stay at Walrick of So Fla (BR2),6021015,Walter,,Wilton Manors,26.15898,-80.15189,Private room,121,1,82,2022-05-10,0.77,2,316,22,
4490306,"Stay Warm on The Beach ""The Umbrella Drink""",6509464,Rich,,Hollywood,26.01734,-80.11672,Private room,235,5,49,2022-05-06,0.54,6,353,12,
1117425,Cute Villa w/POOL 250 yds to BEACH,6133059,Lauderdale,,Lauderdale By The Sea,26.19502,-80.09752,Entire home/apt,103,5,94,2022-06-13,0.95,2,199,19,
4491593,Stay Warm on Hollywood Beach Studio,6509464,Rich,,Hollywood,26.01592,-80.1169,Private room,81,4,31,2022-05-29,0.34,6,308,8,
1118565,Elegant Condo 250 yards from BEACH,6133059,Lauderdale,,Lauderdale By The Sea,26.19206,-80.09761,Entire home/apt,95,5,82,2022-04-18,0.74,2,322,12,
4492175,Red Room - Heart of Wilton Manors. Heated Pool.,3685146,Raazee,,Wilton Manors,26.15993,-80.12924,Private room,71,1,557,2022-05-15,6.01,3,57,37,
1127112,Studio with kitchen at Beach Hotel,5611017,Sergio,,Hollywood,26.01299,-80.11543,Entire home/apt,77,3,127,2022-05-16,1.19,13,72,25,
